
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-06 | 2015-04-07 01:59:50+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.99
      G | 2015-04-06 | 2015-04-07 01:59:39+0200 |     31.0 |     0 |              7.0 |          4.48 |           1.99
      G | 2015-04-06 | 2015-04-07 01:59:29+0200 |     31.0 |     0 |              7.0 |          4.38 |           2.09
      G | 2015-04-06 | 2015-04-07 01:59:19+0200 |     31.0 |     0 |              7.0 |          4.38 |           1.89
      G | 2015-04-06 | 2015-04-07 01:59:08+0200 |     31.0 |     0 |              7.0 |          4.48 |           1.99
      G | 2015-04-06 | 2015-04-07 01:58:58+0200 |     31.0 |     0 |              7.0 |          4.68 |           1.99
      G | 2015-04-06 | 2015-04-07 01:58:48+0200 |     31.0 |     0 |              7.0 |          4.28 |           1.99
      G | 2015-04-06 | 2015-04-07 01:58:37+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.79
      G | 2015-04-06 | 2015-04-07 01:58:28+0200 |     31.0 |     0 |              7.0 |          4.19 |           1.89
      G | 2015-04-06 | 2015-04-07 01:58:17+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.69
      G | 2015-04-06 | 2015-04-07 01:58:06+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.79
      G | 2015-04-06 | 2015-04-07 01:57:56+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.89
      G | 2015-04-06 | 2015-04-07 01:57:46+0200 |     31.0 |     0 |              7.0 |          4.48 |           2.09
      G | 2015-04-06 | 2015-04-07 01:57:35+0200 |     31.0 |     0 |              7.0 |          4.38 |           1.99
      G | 2015-04-06 | 2015-04-07 01:57:25+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.79
      G | 2015-04-06 | 2015-04-07 01:57:15+0200 |     31.0 |     0 |              7.0 |          4.48 |           1.79
      G | 2015-04-06 | 2015-04-07 01:57:04+0200 |     31.0 |     0 |              7.0 |          4.48 |           2.09
      G | 2015-04-06 | 2015-04-07 01:56:54+0200 |     31.0 |     0 |              7.0 |          4.48 |           2.09
      G | 2015-04-06 | 2015-04-07 01:56:44+0200 |     31.0 |     0 |              7.0 |          4.38 |           1.89
      G | 2015-04-06 | 2015-04-07 01:56:33+0200 |     31.0 |     0 |              7.0 |          4.58 |           1.79
