
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-21 | 2015-04-22 01:59:58+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.24
      G | 2015-04-21 | 2015-04-22 01:59:48+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.15
      G | 2015-04-21 | 2015-04-22 01:59:38+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.15
      G | 2015-04-21 | 2015-04-22 01:59:27+0200 |     25.0 |     0 |             12.0 |         11.23 |           8.15
      G | 2015-04-21 | 2015-04-22 01:59:17+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.15
      G | 2015-04-21 | 2015-04-22 01:59:07+0200 |     25.0 |     0 |             12.0 |         11.23 |           8.33
      G | 2015-04-21 | 2015-04-22 01:58:56+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:58:46+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.43
      G | 2015-04-21 | 2015-04-22 01:58:36+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.33
      G | 2015-04-21 | 2015-04-22 01:58:26+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:58:15+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.15
      G | 2015-04-21 | 2015-04-22 01:58:05+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.06
      G | 2015-04-21 | 2015-04-22 01:57:55+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.33
      G | 2015-04-21 | 2015-04-22 01:57:44+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:57:34+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:57:24+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.15
      G | 2015-04-21 | 2015-04-22 01:57:14+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.15
      G | 2015-04-21 | 2015-04-22 01:57:03+0200 |     25.0 |     0 |             12.0 |         10.96 |           8.24
      G | 2015-04-21 | 2015-04-22 01:56:53+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.15
      G | 2015-04-21 | 2015-04-22 01:56:43+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.06
      G | 2015-04-21 | 2015-04-22 01:56:32+0200 |     25.0 |     0 |             12.0 |         10.96 |           7.96
      G | 2015-04-21 | 2015-04-22 01:56:22+0200 |     25.0 |     0 |             12.0 |         11.14 |           7.87
      G | 2015-04-21 | 2015-04-22 01:56:12+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:56:02+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.43
      G | 2015-04-21 | 2015-04-22 01:55:51+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:55:41+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.43
      G | 2015-04-21 | 2015-04-22 01:55:31+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.61
      G | 2015-04-21 | 2015-04-22 01:55:20+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.61
      G | 2015-04-21 | 2015-04-22 01:55:10+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.61
      G | 2015-04-21 | 2015-04-22 01:55:00+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.43
      G | 2015-04-21 | 2015-04-22 01:54:50+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.61
      G | 2015-04-21 | 2015-04-22 01:54:39+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.43
      G | 2015-04-21 | 2015-04-22 01:54:29+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.33
      G | 2015-04-21 | 2015-04-22 01:54:19+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.61
      G | 2015-04-21 | 2015-04-22 01:54:08+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.61
      G | 2015-04-21 | 2015-04-22 01:53:58+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:53:48+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.43
      G | 2015-04-21 | 2015-04-22 01:53:37+0200 |     25.0 |     0 |             12.0 |         11.23 |           8.43
      G | 2015-04-21 | 2015-04-22 01:53:27+0200 |     25.0 |     0 |             12.0 |         11.23 |           8.33
      G | 2015-04-21 | 2015-04-22 01:53:17+0200 |     25.0 |     0 |             12.0 |         11.05 |           8.33
      G | 2015-04-21 | 2015-04-22 01:53:07+0200 |     25.0 |     0 |             12.0 |         11.14 |           8.24
      G | 2015-04-21 | 2015-04-22 01:52:56+0200 |     25.0 |     0 |             12.0 |         11.23 |           8.15
      G | 2015-04-21 | 2015-04-22 01:52:46+0200 |     25.0 |     0 |             12.0 |         11.23 |           7.87
      G | 2015-04-21 | 2015-04-22 01:52:36+0200 |     25.0 |     0 |             13.0 |         11.23 |           7.96
      G | 2015-04-21 | 2015-04-22 01:52:25+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.24
      G | 2015-04-21 | 2015-04-22 01:52:15+0200 |     25.0 |     0 |             13.0 |         11.23 |           8.52
      G | 2015-04-21 | 2015-04-22 01:52:05+0200 |     25.0 |     0 |             13.0 |         11.23 |           8.61
      G | 2015-04-21 | 2015-04-22 01:51:55+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.52
      G | 2015-04-21 | 2015-04-22 01:51:44+0200 |     25.0 |     0 |             12.0 |         11.32 |            8.7
      G | 2015-04-21 | 2015-04-22 01:51:34+0200 |     25.0 |     0 |             13.0 |         11.23 |            8.7
      G | 2015-04-21 | 2015-04-22 01:51:24+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.43
      G | 2015-04-21 | 2015-04-22 01:51:13+0200 |     25.0 |     0 |             13.0 |         11.23 |            8.7
      G | 2015-04-21 | 2015-04-22 01:51:03+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.43
      G | 2015-04-21 | 2015-04-22 01:50:53+0200 |     25.0 |     0 |             13.0 |         11.23 |            8.7
      G | 2015-04-21 | 2015-04-22 01:50:43+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.52
      G | 2015-04-21 | 2015-04-22 01:50:32+0200 |     25.0 |     0 |             13.0 |         11.23 |           8.61
      G | 2015-04-21 | 2015-04-22 01:50:22+0200 |     25.0 |     0 |             13.0 |         11.32 |           8.52
      G | 2015-04-21 | 2015-04-22 01:50:12+0200 |     25.0 |     0 |             13.0 |         11.23 |            8.7
      G | 2015-04-21 | 2015-04-22 01:50:01+0200 |     25.0 |     0 |             13.0 |         11.23 |           8.79
      G | 2015-04-21 | 2015-04-22 01:49:51+0200 |     25.0 |     0 |             13.0 |         11.32 |            8.7
