
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-18 | 2015-04-19 01:59:55+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.56
      G | 2015-04-18 | 2015-04-19 01:59:45+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.66
      G | 2015-04-18 | 2015-04-19 01:59:34+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.76
      G | 2015-04-18 | 2015-04-19 01:59:24+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.66
      G | 2015-04-18 | 2015-04-19 01:59:13+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.76
      G | 2015-04-18 | 2015-04-19 01:59:03+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.76
      G | 2015-04-18 | 2015-04-19 01:58:53+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.56
      G | 2015-04-18 | 2015-04-19 01:58:42+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.56
      G | 2015-04-18 | 2015-04-19 01:58:32+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.35
      G | 2015-04-18 | 2015-04-19 01:58:22+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.45
      G | 2015-04-18 | 2015-04-19 01:58:11+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.24
      G | 2015-04-18 | 2015-04-19 01:58:01+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.45
      G | 2015-04-18 | 2015-04-19 01:57:51+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.56
      G | 2015-04-18 | 2015-04-19 01:57:40+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.56
      G | 2015-04-18 | 2015-04-19 01:57:30+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.56
      G | 2015-04-18 | 2015-04-19 01:57:20+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.45
      G | 2015-04-18 | 2015-04-19 01:57:09+0200 |     40.0 |     0 |              7.0 |          5.46 |           0.35
      G | 2015-04-18 | 2015-04-19 01:56:59+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.35
      G | 2015-04-18 | 2015-04-19 01:56:49+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.35
      G | 2015-04-18 | 2015-04-19 01:56:38+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.56
      G | 2015-04-18 | 2015-04-19 01:56:28+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.35
      G | 2015-04-18 | 2015-04-19 01:56:18+0200 |     40.0 |     0 |              7.0 |          5.74 |           0.66
      G | 2015-04-18 | 2015-04-19 01:56:07+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.66
      G | 2015-04-18 | 2015-04-19 01:55:57+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.45
      G | 2015-04-18 | 2015-04-19 01:55:47+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.45
      G | 2015-04-18 | 2015-04-19 01:55:36+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.35
      G | 2015-04-18 | 2015-04-19 01:55:26+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.45
      G | 2015-04-18 | 2015-04-19 01:55:15+0200 |     40.0 |     0 |              7.0 |          5.36 |           0.24
      G | 2015-04-18 | 2015-04-19 01:55:05+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.56
      G | 2015-04-18 | 2015-04-19 01:54:55+0200 |     40.0 |     0 |              7.0 |          5.65 |           0.45
      G | 2015-04-18 | 2015-04-19 01:54:44+0200 |     40.0 |     0 |              7.0 |          5.55 |           0.35
