
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-05 | 2015-04-06 01:59:58+0200 |     35.0 |     0 |              6.0 |          4.38 |           3.29
      G | 2015-04-05 | 2015-04-06 01:59:48+0200 |     35.0 |     0 |              6.0 |          4.38 |           3.39
      G | 2015-04-05 | 2015-04-06 01:59:37+0200 |     35.0 |     0 |              6.0 |          3.99 |           3.39
      G | 2015-04-05 | 2015-04-06 01:59:27+0200 |     34.0 |     0 |              6.0 |          4.09 |           3.39
      G | 2015-04-05 | 2015-04-06 01:59:17+0200 |     35.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:59:07+0200 |     34.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:56+0200 |     35.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:46+0200 |     34.0 |     0 |              6.0 |          4.09 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:36+0200 |     35.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:25+0200 |     34.0 |     0 |              6.0 |          4.09 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:15+0200 |     35.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:58:05+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.39
      G | 2015-04-05 | 2015-04-06 01:57:54+0200 |     34.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:57:44+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.58
      G | 2015-04-05 | 2015-04-06 01:57:34+0200 |     35.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:57:24+0200 |     35.0 |     0 |              6.0 |          4.28 |           3.58
      G | 2015-04-05 | 2015-04-06 01:57:13+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.29
      G | 2015-04-05 | 2015-04-06 01:57:03+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:56:53+0200 |     34.0 |     0 |              6.0 |          4.09 |           3.39
      G | 2015-04-05 | 2015-04-06 01:56:42+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.29
      G | 2015-04-05 | 2015-04-06 01:56:32+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.39
      G | 2015-04-05 | 2015-04-06 01:56:22+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.39
      G | 2015-04-05 | 2015-04-06 01:56:11+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.19
      G | 2015-04-05 | 2015-04-06 01:56:01+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.19
      G | 2015-04-05 | 2015-04-06 01:55:51+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.39
      G | 2015-04-05 | 2015-04-06 01:55:41+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.68
      G | 2015-04-05 | 2015-04-06 01:55:30+0200 |     34.0 |     0 |              6.0 |          4.09 |           3.58
      G | 2015-04-05 | 2015-04-06 01:55:20+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.68
      G | 2015-04-05 | 2015-04-06 01:55:10+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.39
      G | 2015-04-05 | 2015-04-06 01:54:59+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:54:49+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:54:39+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.39
      G | 2015-04-05 | 2015-04-06 01:54:28+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.39
      G | 2015-04-05 | 2015-04-06 01:54:18+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.39
      G | 2015-04-05 | 2015-04-06 01:54:08+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.39
      G | 2015-04-05 | 2015-04-06 01:53:58+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.19
      G | 2015-04-05 | 2015-04-06 01:53:47+0200 |     34.0 |     0 |              6.0 |          4.19 |           3.48
      G | 2015-04-05 | 2015-04-06 01:53:37+0200 |     34.0 |     0 |              6.0 |          4.19 |           3.19
      G | 2015-04-05 | 2015-04-06 01:53:27+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.09
      G | 2015-04-05 | 2015-04-06 01:53:16+0200 |     34.0 |     0 |              6.0 |          4.28 |           3.19
      G | 2015-04-05 | 2015-04-06 01:53:06+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:52:56+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.68
      G | 2015-04-05 | 2015-04-06 01:52:45+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.58
      G | 2015-04-05 | 2015-04-06 01:52:35+0200 |     34.0 |     0 |              6.0 |          4.38 |           3.48
      G | 2015-04-05 | 2015-04-06 01:52:25+0200 |     34.0 |     0 |              6.0 |          4.19 |           3.58
      G | 2015-04-05 | 2015-04-06 01:52:15+0200 |     34.0 |     0 |              6.0 |          4.68 |           3.29
      G | 2015-04-05 | 2015-04-06 01:52:04+0200 |     34.0 |     0 |              6.0 |          4.48 |           3.39
