
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-09 | 2015-04-10 01:59:52+0200 |     47.0 |     0 |             10.0 |          8.21 |           5.14
      G | 2015-04-09 | 2015-04-10 01:59:41+0200 |     47.0 |     0 |             10.0 |          8.21 |           4.94
      G | 2015-04-09 | 2015-04-10 01:59:32+0200 |     47.0 |     0 |             10.0 |           8.3 |           4.94
      G | 2015-04-09 | 2015-04-10 01:59:22+0200 |     47.0 |     0 |             10.0 |           8.3 |           4.94
      G | 2015-04-09 | 2015-04-10 01:59:12+0200 |     47.0 |     0 |             10.0 |           8.3 |           4.75
      G | 2015-04-09 | 2015-04-10 01:59:04+0200 |     47.0 |     0 |             10.0 |           8.3 |           4.85
      G | 2015-04-09 | 2015-04-10 01:59:03+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.14
      G | 2015-04-09 | 2015-04-10 01:58:43+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.14
      G | 2015-04-09 | 2015-04-10 01:58:32+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.04
      G | 2015-04-09 | 2015-04-10 01:58:19+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.04
      G | 2015-04-09 | 2015-04-10 01:58:09+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.23
      G | 2015-04-09 | 2015-04-10 01:57:59+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.33
      G | 2015-04-09 | 2015-04-10 01:57:53+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.23
      G | 2015-04-09 | 2015-04-10 01:57:52+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.23
      G | 2015-04-09 | 2015-04-10 01:57:44+0200 |     47.0 |     0 |             10.0 |          8.11 |           5.42
      G | 2015-04-09 | 2015-04-10 01:57:18+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.14
      G | 2015-04-09 | 2015-04-10 01:57:10+0200 |     47.0 |     0 |             10.0 |           8.3 |           4.85
      G | 2015-04-09 | 2015-04-10 01:56:57+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.33
      G | 2015-04-09 | 2015-04-10 01:56:46+0200 |     47.0 |     0 |             10.0 |          8.39 |           5.33
      G | 2015-04-09 | 2015-04-10 01:56:36+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.42
      G | 2015-04-09 | 2015-04-10 01:56:26+0200 |     47.0 |     0 |             10.0 |           8.3 |           5.42
      G | 2015-04-09 | 2015-04-10 01:56:15+0200 |     47.0 |     0 |             10.0 |          8.49 |           5.52
