
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-12 | 2015-04-13 01:59:50+0200 |     51.0 |     0 |             13.0 |         11.59 |          10.07
      G | 2015-04-12 | 2015-04-13 01:59:40+0200 |     51.0 |     0 |             13.0 |         11.59 |           9.98
      G | 2015-04-12 | 2015-04-13 01:59:30+0200 |     51.0 |     0 |             13.0 |         11.68 |          10.07
      G | 2015-04-12 | 2015-04-13 01:59:19+0200 |     51.0 |     0 |             13.0 |         11.77 |          10.07
      G | 2015-04-12 | 2015-04-13 01:59:09+0200 |     51.0 |     0 |             13.0 |         11.77 |           9.71
      G | 2015-04-12 | 2015-04-13 01:58:58+0200 |     51.0 |     0 |             13.0 |         11.86 |           9.71
      G | 2015-04-12 | 2015-04-13 01:58:48+0200 |     51.0 |     0 |             13.0 |         11.86 |            9.8
      G | 2015-04-12 | 2015-04-13 01:58:38+0200 |     51.0 |     0 |             13.0 |         11.86 |            9.8
      G | 2015-04-12 | 2015-04-13 01:58:27+0200 |     51.0 |     0 |             13.0 |         11.86 |           9.71
      G | 2015-04-12 | 2015-04-13 01:58:17+0200 |     51.0 |     0 |             13.0 |         11.77 |           9.89
      G | 2015-04-12 | 2015-04-13 01:58:07+0200 |     51.0 |     0 |             13.0 |         11.86 |           9.98
      G | 2015-04-12 | 2015-04-13 01:57:56+0200 |     51.0 |     0 |             13.0 |         11.86 |          10.07
      G | 2015-04-12 | 2015-04-13 01:57:46+0200 |     51.0 |     0 |             13.0 |         11.86 |           9.98
      G | 2015-04-12 | 2015-04-13 01:57:36+0200 |     51.0 |     0 |             13.0 |         12.04 |           9.98
      G | 2015-04-12 | 2015-04-13 01:57:25+0200 |     51.0 |     0 |             13.0 |         11.95 |            9.8
      G | 2015-04-12 | 2015-04-13 01:57:15+0200 |     51.0 |     0 |             13.0 |         11.77 |            9.8
      G | 2015-04-12 | 2015-04-13 01:57:05+0200 |     51.0 |     0 |             13.0 |         11.86 |           9.89
      G | 2015-04-12 | 2015-04-13 01:56:54+0200 |     51.0 |     0 |             13.0 |         11.95 |          10.16
      G | 2015-04-12 | 2015-04-13 01:56:44+0200 |     51.0 |     0 |             13.0 |         11.86 |          10.16
      G | 2015-04-12 | 2015-04-13 01:56:33+0200 |     51.0 |     0 |             13.0 |         12.04 |          10.16
      G | 2015-04-12 | 2015-04-13 01:56:23+0200 |     51.0 |     0 |             13.0 |         11.95 |          10.07
      G | 2015-04-12 | 2015-04-13 01:56:13+0200 |     51.0 |     0 |             13.0 |         12.13 |          10.16
      G | 2015-04-12 | 2015-04-13 01:56:02+0200 |     51.0 |     0 |             13.0 |         12.04 |          10.16
      G | 2015-04-12 | 2015-04-13 01:55:52+0200 |     51.0 |     0 |             13.0 |         11.77 |          10.07
      G | 2015-04-12 | 2015-04-13 01:55:42+0200 |     51.0 |     0 |             13.0 |         11.86 |          10.07
      G | 2015-04-12 | 2015-04-13 01:55:31+0200 |     51.0 |     0 |             13.0 |         11.59 |          10.16
      G | 2015-04-12 | 2015-04-13 01:55:21+0200 |     51.0 |     0 |             13.0 |         11.68 |          10.34
      G | 2015-04-12 | 2015-04-13 01:55:11+0200 |     51.0 |     0 |             13.0 |         11.77 |          10.07
      G | 2015-04-12 | 2015-04-13 01:55:00+0200 |     51.0 |     0 |             13.0 |         11.95 |           9.98
      G | 2015-04-12 | 2015-04-13 01:54:50+0200 |     51.0 |     0 |             13.0 |         11.86 |          10.07
      G | 2015-04-12 | 2015-04-13 01:54:40+0200 |     51.0 |     0 |             13.0 |         12.13 |           9.98
