
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-11 | 2015-04-12 01:59:26+0200 |     48.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:59:26+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:59:26+0200 |     48.0 |     0 |             16.0 |         14.98 |          14.09
      G | 2015-04-11 | 2015-04-12 01:58:48+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:58:48+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:58:48+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:57:39+0200 |     48.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:57:08+0200 |     48.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:57:06+0200 |     48.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:57:06+0200 |     48.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:54:18+0200 |     48.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:54:12+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:53:57+0200 |     49.0 |     0 |             16.0 |         15.16 |           14.0
      G | 2015-04-11 | 2015-04-12 01:53:57+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:53:56+0200 |     48.0 |     0 |             16.0 |         14.98 |           14.0
      G | 2015-04-11 | 2015-04-12 01:53:32+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:52:55+0200 |     49.0 |     0 |             16.0 |         14.98 |          13.83
      G | 2015-04-11 | 2015-04-12 01:52:48+0200 |     49.0 |     0 |             16.0 |         15.16 |          13.74
      G | 2015-04-11 | 2015-04-12 01:52:48+0200 |     49.0 |     0 |             16.0 |         14.98 |          13.91
      G | 2015-04-11 | 2015-04-12 01:52:47+0200 |     49.0 |     0 |             16.0 |         15.16 |          13.83
      G | 2015-04-11 | 2015-04-12 01:51:21+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.83
      G | 2015-04-11 | 2015-04-12 01:51:16+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.83
      G | 2015-04-11 | 2015-04-12 01:51:16+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.83
      G | 2015-04-11 | 2015-04-12 01:50:50+0200 |     49.0 |     0 |             16.0 |         15.16 |          13.91
      G | 2015-04-11 | 2015-04-12 01:50:48+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.09
      G | 2015-04-11 | 2015-04-12 01:50:48+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:50:48+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:50:37+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:50:03+0200 |     49.0 |     0 |             16.0 |         14.98 |          13.91
      G | 2015-04-11 | 2015-04-12 01:49:30+0200 |     49.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:49:29+0200 |     49.0 |     0 |             16.0 |         15.16 |           14.0
      G | 2015-04-11 | 2015-04-12 01:49:11+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:49:04+0200 |     49.0 |     0 |             16.0 |         14.98 |          13.83
      G | 2015-04-11 | 2015-04-12 01:48:45+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.83
      G | 2015-04-11 | 2015-04-12 01:48:37+0200 |     49.0 |     0 |             16.0 |         14.98 |          13.74
      G | 2015-04-11 | 2015-04-12 01:48:25+0200 |     49.0 |     0 |             16.0 |         15.16 |          13.83
      G | 2015-04-11 | 2015-04-12 01:48:14+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:48:04+0200 |     49.0 |     0 |             16.0 |         15.16 |           14.0
      G | 2015-04-11 | 2015-04-12 01:47:53+0200 |     49.0 |     0 |             16.0 |         15.07 |          13.91
      G | 2015-04-11 | 2015-04-12 01:47:49+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:47:33+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.09
      G | 2015-04-11 | 2015-04-12 01:47:22+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:47:12+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:47:03+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:46:54+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.27
      G | 2015-04-11 | 2015-04-12 01:46:41+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:46:31+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:46:23+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:46:10+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:46:00+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:45:49+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:45:40+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.27
      G | 2015-04-11 | 2015-04-12 01:45:29+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:45:18+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:45:09+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:44:57+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:44:51+0200 |     49.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:44:37+0200 |     49.0 |     0 |             16.0 |         15.16 |          14.27
      G | 2015-04-11 | 2015-04-12 01:44:26+0200 |     49.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:44:16+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:44:11+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:55+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:46+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:35+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:24+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:15+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:43:14+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:42:55+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:42:55+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:42:53+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:42:22+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:42:12+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:42:01+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.09
      G | 2015-04-11 | 2015-04-12 01:41:51+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.18
      G | 2015-04-11 | 2015-04-12 01:41:41+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:41:34+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.27
      G | 2015-04-11 | 2015-04-12 01:41:22+0200 |     50.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:41:16+0200 |     50.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:41:01+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.09
      G | 2015-04-11 | 2015-04-12 01:40:54+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.09
      G | 2015-04-11 | 2015-04-12 01:40:54+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.09
      G | 2015-04-11 | 2015-04-12 01:40:54+0200 |     50.0 |     0 |             16.0 |         15.07 |           14.0
      G | 2015-04-11 | 2015-04-12 01:40:18+0200 |     50.0 |     0 |             16.0 |         15.16 |          14.18
      G | 2015-04-11 | 2015-04-12 01:40:09+0200 |     50.0 |     0 |             16.0 |         15.07 |          14.09
